Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
1,Madde 4 Takımlar,4-1,"Açıklama: Takımdaki bütün oyuncuların forma ve şortun altına giydikleri dahil tüm kol ve bacak giyilebilir kompresyon malzemeleri, başörtüsü, bileklikleri, kafa-saç bantları aynı hakim renkte olmalıdır.","Sahada A1 beyaz, A2 ise kırmızı saç bandı takar.",A1 ve A2'nin farklı renkte saç bantları takmasına izin verilmez.,"Sahada A1 beyaz, A2 ise kırmızı saç bandı takarsa bu kurala uygun mudur?","Evet, her oyuncu farklı renkte saç bandı takabilir.","Hayır, tüm oyuncuların saç bantları aynı renkte olmalıdır.","Evet, sadece forma renkleri aynı olmalıdır.","Hayır, saç bantlarının rengi önemli değildir.",B
2,Madde 4 Takımlar,4-1,"Açıklama: Takımdaki bütün oyuncuların forma ve şortun altına giydikleri dahil tüm kol ve bacak giyilebilir kompresyon malzemeleri, başörtüsü, bileklikleri, kafa-saç bantları aynı hakim renkte olmalıdır.","Sahada A1 beyaz saç bandı, A2 ise kırmızı bileklik takar.",Beyaz bir kafa bandı takan A1'e ve kırmızı bir bileklik takan A2'ye izin verilmez.,"Sahada A1 beyaz saç bandı, A2 ise kırmızı bileklik takarsa, bu duruma izin verilir mi?","Evet, çünkü her oyuncu kendi aksesuar rengini seçebilir.","Hayır, çünkü tüm oyuncuların aksesuarları aynı hakim renkte olmalıdır.","Evet, çünkü saç bandı ve bileklik farklı türde aksesuarlardır.","Hayır, çünkü sadece saç bantlarının rengi aynı olmalıdır.",B
3,Madde 4 Takımlar,4-4,Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez,"A1, takım arkadaşlarının izin verilen diğer herhangi bir ek ekipmanıyla aynı hakim renkte fular tarzı bir kafa bandı takar.","A1'in fular tarzı bir kafa bandı takmasına izin verilmez. Kafa bandı, başın etrafında açma /bağlama parçalarına sahip olmayacak ve üzerinde sıkmaya yarayacak herhangi bir parçası bulunmayacaktır.","A1, takım arkadaşlarının izin verilen diğer herhangi bir ek ekipmanıyla aynı hakim renkte fular tarzı bir kafa bandı takarsa, bu duruma izin verilir mi?","Evet, takım arkadaşlarının ekipmanıyla aynı renkte olduğu için izin verilir.","Hayır, fular tarzı kafa bandı takılmasına izin verilmez.","Evet, eğer kafa bandı fular tarzı değilse izin verilir.","Hayır, kafa bandı yalnızca belirli renklerde ise izin verilir.",B
4,Madde 4 Takımlar,4-4,Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez,"A6, bir değişiklik talebinde bulunur. Hakemler A6’nın formasının altına kompresyon malzemesi özelliği olmayan bir tişört giydiğini fark ederler.",Oyuncu değişikliğine izin verilmez. Üniformanın altına sadece kompresyon malzemesi özelliği olan giysiler giyilebilir.,"A6, bir değişiklik talebinde bulunur. Hakemler A6'nın formasının altına kompresyon malzemesi özelliği olmayan bir tişört giydiğini fark ederler. Bu durumda ne yapılmalıdır?",Oyuncu değişikliğine izin verilmez. Üniformanın altına sadece kompresyon malzemesi özelliği olan giysiler giyilebilir.,Oyuncu değişikliğine izin verilir. Formanın altına giyilen tişört herhangi bir özellik taşımak zorunda değildir.,"Oyuncu değişikliğine izin verilir, ancak oyuncu tişörtünü çıkarmak zorundadır.","Oyuncu değişikliği yapılır, ancak A6 bir sonraki çeyrekte oynayamaz.",A
5,Madde 4 Takımlar,4-4,Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez,"A6, şortunun altına aşağıda belirtilen şekilde kompresyon malzemesi özelliği olan bir giysi giyer. (a) Dizlerinin üzerine kadar uzayan, (b) Ayak bileklerine kadar uzayan.","Giyilebilir kompresyon malzemeleri (şort altına giyilen) kurallara uygundur ve herhangi bir uzunlukta giyilebilir. Takımdaki tüm oyuncular, forma ve şortun altına giydikleri dahil aynı hakim renkte kol ve bacak için giyilebilir kompresyon malzemeleri, başörtüsü, bileklik ve kafa-saç bantları kullanmalıdır.","A6, şortunun altına aşağıda belirtilen şekilde kompresyon malzemesi özelliği olan bir giysi giyer. (a) Dizlerinin üzerine kadar uzayan, (b) Ayak bileklerine kadar uzayan. Bu durumda giysi kurallara uygun mudur?","Evet, giysi kurallara uygundur ve herhangi bir uzunlukta giyilebilir.","Hayır, giysi sadece dizlerinin üzerine kadar olan uzunlukta olmalıdır.","Hayır, giysi sadece ayak bileklerine kadar olan uzunlukta olmalıdır.","Evet, ancak giysi sadece dizlerinin altına kadar olan uzunlukta giyilebilir.",A
6,Madde 4 Takımlar,4-4,Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez,"A6, formasının altına aşağıda belirtilen şekilde kompresyon malzemesi özelliği olan bir atlet giyer. (a) Omuzlarının üzerine kadar uzayan, (b) Boynuna kadar uzayan.","Giyilebilir kompresyon malzemeleri (forma altına giyilen) kurallara uygundur ve kullanılabilir. (a) Omuzlarının üzerine ve altına doğru herhangi bir uzunlukta, (b) Boynun üst tarafına kadar uzayan Takımdaki tüm oyuncular, forma ve şortun altına giydikleri dahil aynı hakim renkte kol ve bacak için giyilebilir kompresyon malzemeleri, başörtüsü, bileklik ve kafa-saç bantları kullanmalıdır.","A6 oyuncusu, formasının altına kompresyon malzemesi özelliği olan bir atlet giymektedir. Bu atlet (a) omuzlarının üzerine kadar uzanmakta, (b) boynuna kadar uzanmaktadır. Bu durum kurallara uygun mudur?","Evet, omuzlarının üzerine kadar uzanan atlet kurallara uygundur.","Hayır, boynuna kadar uzanan atlet kurallara uygun değildir.","Evet, her iki durumda da atletin uzunluğu sorun teşkil etmez.","Hayır, her iki durumda da atletin uzunluğu kurallara uygun değildir.",C
7,Madde 5 Sakatlanma ve yardım,5-1,"Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.","A1 ayak bileğinden sakatlanmış görünmektedir ve oyun durdurulur. A takımının: (a) Doktoru sahaya girer ve A1'in sakatlanan ayak bileğini tedavi eder. (b) Doktoru sahaya girer ancak, A1 daha önce iyileşir. (c) Başantrenörü sakatlanan oyuncusuna bakmak için sahaya girer. (d) Birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da herhangi bir diğer delegasyon üyesi sahaya girer, ancak A1’i tedavi etmezler.",Tüm durumlarda A1 tedavi görmüş kabul edilir ve değiştirilecektir.,"A1 ayak bileğinden sakatlanmış görünmektedir ve oyun durdurulur. A takımının: (a) Doktoru sahaya girer ve A1'in sakatlanan ayak bileğini tedavi eder. (b) Doktoru sahaya girer ancak, A1 daha önce iyileşir. (c) Başantrenörü sakatlanan oyuncusuna bakmak için sahaya girer. (d) Birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da herhangi bir diğer delegasyon üyesi sahaya girer, ancak A1’i tedavi etmezler. Bu durumlardan hangisinde A1 tedavi olmuş kabul edilir ve değiştirilecektir?",Sadece doktor sahaya girip A1'i tedavi ederse,Sadece başantrenör sahaya girip A1'e bakarsa,"Herhangi biri sahaya girerse, A1 tedavi olmuş kabul edilir",Sadece A1 gerçekten tedavi görürse,C
8,Madde 5 Sakatlanma ve yardım,5-1,"Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.",Takımın fizyoterapisti A1’in gevşek olan bandını düzeltmek için oyun sahasına girer.,A1 bir yardım almıştır ve değiştirilecektir.,"Takımın fizyoterapisti A1’in gevşek olan bandını düzeltmek için oyun sahasına girerse, bu durumda ne yapılmalıdır?",A1 bir yardım almıştır ve değiştirilecektir.,A1 oyuna devam edebilir çünkü sadece bandını düzeltmiştir.,Fizyoterapist sahaya girdiği için takım teknik faul alır.,A1 oyundan çıkar ve başka bir oyuncu serbest atış kullanır.,A
9,Madde 5 Sakatlanma ve yardım,5-1,"Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.",Takımın doktoru A1'in kayıp olan kontak lensini bulmak için sahaya girer.,A1 bir yardım almıştır ve değiştirilecektir.,"Takımın doktoru A1'in kayıp olan kontak lensini bulmak için sahaya girerse, bu durumda ne olur?",A1 bir yardım almıştır ve değiştirilecektir.,A1 oyuna devam edebilir çünkü tedavi almadı.,Takımın doktoru oyundan ihraç edilir.,Oyun durdurulmaz ve devam eder.,A
10,Madde 5 Sakatlanma ve yardım,5-5,"Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.","B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar. Top sepetten içeri girmez. A1, 2 ya da 3 serbest atış girişiminde bulunurken; (a) A takımının sıra bölgesinden bir yönetici veya A6, oyun sahasındaki herhangi diğer bir A takımı oyuncusuna bir havlu, bir su şişesi veya bir kafa bandı verir. (b) A takımının sıra bölgesinden bir fizyoterapist, oyun sahasındaki diğer bir A takımı oyuncusunun çıkmış olan bantlarını düzeltir, bacağına sprey sıkar veya boynuna masaj yapar, vb.","Her iki durumda da A takımı oyuncusu, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A takımı oyuncusu için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 ya da 3 serbest atışını atmaya devam edecektir.","B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar ve top sepetten içeri girmez. A1, 2 ya da 3 serbest atış girişiminde bulunurken; (a) A takımının sıra bölgesinden bir yönetici veya A6, oyun sahasındaki herhangi diğer bir A takımı oyuncusuna bir havlu, bir su şişesi veya bir kafa bandı verir. (b) A takımının sıra bölgesinden bir fizyoterapist, oyun sahasındaki diğer bir A takımı oyuncusunun çıkmış olan bantlarını düzeltir, bacağına sprey sıkar veya boynuna masaj yapar. Bu durumlarda ne olur?",A takımının oyuncusu için oyuncu değişikliği yapılması gerekir.,"A1, 2 ya da 3 serbest atışını kullanamaz ve oyundan çıkar.","A takımı oyuncusu, oyunun hemen yeniden başlatılmasını geciktirecek bir yardım almadığı için oyuncu değişikliği yapılmaz.","A takımı, kurallara aykırı olarak oyun sahasına müdahale ettiği için teknik faul alır.",C
